"port_name","date","buses","pedestrians","personal_vehicles","trains","trucks"
"Calais","Apr 2022",4,275,21091,19,4895
"Calais","Apr 2023",8,440,34401,15,4225
"Calais","Aug 2022",9,684,42101,13,6175
"Calais","Aug 2023",9,761,65208,24,5313
"Calais","Dec 2022",2,216,31746,11,4169
"Calais","Dec 2023",5,221,40617,17,4127
"Calais","Feb 2023",2,3,26146,14,4335
"Calais","Jan 2023",1,110,25746,11,4564
"Calais","Jul 2022",8,111,38659,19,4681
"Calais","Jul 2023",16,881,57165,7,4903
"Calais","Jun 2022",7,414,30261,20,5250
"Calais","Jun 2023",7,659,44773,11,5109
"Calais","Mar 2023",3,347,31567,17,5094
"Calais","May 2022",4,352,25907,9,4774
"Calais","May 2023",5,510,39237,21,5632
"Calais","Nov 2022",8,471,32943,13,4945
"Calais","Nov 2023",21,83,41235,16,5380
"Calais","Oct 2022",7,576,36254,12,4739
"Calais","Oct 2023",11,199,47429,15,5541
"Calais","Sep 2022",17,96,34786,19,4657
