make,model,year,engine_size,mileage,fuel_type,transmission,price
Honda,Model B,2015,3.9,74176,Petrol,Manual,30246.20793
Honda,Model B,2015,2.6,88919,Electric,Automatic,25638.00349
Honda,Model C,2004,3.4,138482,Petrol,Automatic,21021.38666
Honda,Model A,2004,4.4,31159,Electric,Automatic,27392.17842
Honda,Model D,2016,3.1,118368,Diesel,Manual,27796.0755
Honda,Model D,2021,1.1,174735,Diesel,Manual,23521.88168
Honda,Model A,2010,2,51444,Electric,Manual,23469.16159
Honda,Model E,2012,4,124078,Petrol,Automatic,23633.38955
Honda,Model B,2001,2.9,16498,Electric,Automatic,25839.54216
Honda,Model C,2018,1.2,117035,Diesel,Manual,22788.3213
Honda,Model C,2002,1.3,105231,Electric,Manual,15961.2139
Honda,Model C,2008,3.1,147996,Petrol,Manual,20951.40956
Honda,Model B,2005,2.4,81943,Diesel,Manual,24753.59681
Honda,Model A,2001,2.8,21518,Petrol,Manual,22407.72268
Honda,Model B,2018,1.8,71524,Diesel,Automatic,30346.21534
Honda,Model A,2004,1.9,139752,Petrol,Manual,20338.969
Honda,Model A,2008,3,20043,Diesel,Automatic,24750.23938
Honda,Model A,2013,1.7,2419,Diesel,Automatic,31337.12983
Honda,Model B,2021,3.5,108611,Diesel,Manual,29044.03397
Honda,Model B,2006,2.7,31127,Petrol,Manual,24317.93912
Honda,Model A,2020,1.1,134268,Petrol,Automatic,23496.94279
Honda,Model C,2014,3.9,172372,Electric,Manual,23758.78664
Honda,Model D,2019,2,31921,Petrol,Automatic,33749.07066
Honda,Model A,2008,3.7,68535,Electric,Manual,26024.54621
Honda,Model E,2000,2.9,49725,Electric,Automatic,20092.42346
Honda,Model B,2015,3,17862,Diesel,Automatic,31096.38369
Honda,Model B,2010,1.1,140777,Diesel,Manual,19619.33951
Honda,Model A,2016,3.2,186351,Electric,Manual,22734.55468
Honda,Model A,2020,2.4,62648,Electric,Automatic,30122.27912
Honda,Model E,2005,3.2,86332,Petrol,Automatic,23282.89595
Honda,Model D,2004,2.3,55781,Electric,Manual,19030.73705
Honda,Model D,2002,4.3,191494,Electric,Manual,19708.41895
Honda,Model B,2008,1.2,7971,Diesel,Manual,25789.70779
Honda,Model D,2021,4,96805,Diesel,Manual,33467.70353
Honda,Model D,2021,3.6,144526,Petrol,Automatic,26901.5329
Honda,Model B,2017,1.6,141292,Petrol,Automatic,25706.86493
Honda,Model E,2001,2.1,159280,Electric,Automatic,16078.81959
Honda,Model D,2009,4.2,10510,Electric,Manual,32548.69585
Honda,Model D,2000,3.7,105935,Electric,Manual,21725.28015
Honda,Model A,2020,4.1,69134,Diesel,Automatic,31734.28234
Honda,Model D,2013,4.2,81015,Electric,Automatic,30072.03171
Honda,Model C,2004,4.4,72746,Electric,Manual,24946.71341
Honda,Model B,2017,1.7,176774,Electric,Manual,21333.47687
Honda,Model B,2018,3.4,102260,Diesel,Manual,25860.3355
Honda,Model A,2010,2.2,30916,Petrol,Manual,25288.68598
Honda,Model A,2010,2.3,175050,Electric,Manual,19614.6902
Honda,Model A,2019,2.4,184655,Electric,Manual,24681.69209
Honda,Model A,2014,1.2,100804,Petrol,Manual,21646.8867
Honda,Model C,2018,3.2,65049,Petrol,Manual,32516.98878
Honda,Model C,2018,1.7,183400,Petrol,Manual,18490.14541
Honda,Model E,2014,4,17106,Diesel,Manual,33193.20911
Honda,Model B,2008,3.9,182436,Electric,Manual,24125.41377
Honda,Model D,2020,3.7,195984,Electric,Automatic,28222.52343
Honda,Model A,2005,2.8,5913,Petrol,Automatic,29606.55813
Honda,Model D,2021,2,112406,Diesel,Automatic,32946.378
Honda,Model E,2007,1.9,113693,Diesel,Manual,19562.10011
Honda,Model C,2008,1.6,10567,Diesel,Automatic,25819.65802
Honda,Model C,2002,3.5,27676,Diesel,Automatic,23300.93664
Honda,Model A,2017,1.3,192782,Diesel,Automatic,21208.44975
Honda,Model C,2019,1.1,191149,Electric,Manual,22259.98767
Honda,Model A,2003,3.2,54215,Petrol,Manual,29496.69975
Honda,Model E,2020,3,39328,Electric,Automatic,30290.97165
Honda,Model D,2013,4.4,80722,Electric,Manual,32201.26378
Honda,Model D,2019,2.2,92554,Diesel,Automatic,28636.51206
Honda,Model B,2011,2.8,177431,Petrol,Automatic,17298.65543
Honda,Model C,2007,3.5,62796,Diesel,Manual,28669.98229
Honda,Model B,2011,3.4,100808,Electric,Automatic,21648.30899
Honda,Model B,2010,1,96299,Diesel,Automatic,19150.62628
Honda,Model C,2015,3,118915,Petrol,Automatic,26146.03175
Honda,Model D,2009,4.4,190326,Electric,Automatic,21915.63547
Honda,Model C,2012,3.1,109017,Electric,Manual,29070.00371
Honda,Model E,2012,4,84242,Electric,Manual,28443.92701
Honda,Model D,2020,4.4,123066,Petrol,Manual,35170.04046
Honda,Model A,2019,4.2,111126,Diesel,Manual,32302.20019
